# via NHK
2020/1/16	1
2020/1/17	0
2020/1/18	0
2020/1/19	0
2020/1/20	0
2020/1/21	0
2020/1/22	0
2020/1/23	0
2020/1/24	1
2020/1/25	1
2020/1/26	1
2020/1/27	0
2020/1/28	3
2020/1/29	1
2020/1/30	6
2020/1/31	3
2020/2/1	3
2020/2/2	0
2020/2/3	0
2020/2/4	3
2020/2/5	2
2020/2/6	0
2020/2/7	0
2020/2/8	1
2020/2/9	0
2020/2/10	0
2020/2/11	2
2020/2/12	1
2020/2/13	4
2020/2/14	8
2020/2/15	12
2020/2/16	6
2020/2/17	7
2020/2/18	8
2020/2/19	10
2020/2/20	10
2020/2/21	15
2020/2/22	26
2020/2/23	12
2020/2/24	13
2020/2/25	11
2020/2/26	18
2020/2/27	25
2020/2/28	19
2020/2/29	9
2020/3/1	14
2020/3/2	18
2020/3/3	19
2020/3/4	36
2020/3/5	32
2020/3/6	56
2020/3/7	44
2020/3/8	33
2020/3/9	28
2020/3/10	59
2020/3/11	53
2020/3/12	56
2020/3/13	34
2020/3/14	63
2020/3/15	31
2020/3/16	17
2020/3/17	45
2020/3/18	41
2020/3/19	40
2020/3/20	54
2020/3/21	39
2020/3/22	48
2020/3/23	39
2020/3/24	72
2020/3/25	96
2020/3/26	93
2020/3/27	123
2020/3/28	202
2020/3/29	173
2020/3/30	93
2020/3/31	241
2020/4/1	268
2020/4/2	279
2020/4/3	357
2020/4/4	369
2020/4/5	359
2020/4/6	244
2020/4/7	368
2020/4/8	527
2020/4/9	578
2020/4/10	644
2020/4/11	720
2020/4/12	507
2020/4/13	303
2020/4/14	480
2020/4/15	549
2020/4/16	576
2020/4/17	560
2020/4/18	588
2020/4/19	376
2020/4/20	346
2020/4/21	390
2020/4/22	441
2020/4/23	435
2020/4/24	441
2020/4/25	382
2020/4/26	220
2020/4/27	174
2020/4/28	282
2020/4/29	223
2020/4/30	201
2020/5/1	266
2020/5/2	300
2020/5/3	203
2020/5/4	176
2020/5/5	120
2020/5/6	104
2020/5/7	96
2020/5/8	88
2020/5/9	114
2020/5/10	69
2020/5/11	45
2020/5/12	80
2020/5/13	55
2020/5/14	100
2020/5/15	50
2020/5/16	57
2020/5/17	26
2020/5/18	31
2020/5/19	27
2020/5/20	38
2020/5/21	38
2020/5/22	25
2020/5/23	26
2020/5/24	42
2020/5/25	21
2020/5/26	29
2020/5/27	35
2020/5/28	63
2020/5/29	73
2020/5/30	45
2020/5/31	35
2020/6/1	37
2020/6/2	51
2020/6/3	30
2020/6/4	47
2020/6/5	44
2020/6/6	46
2020/6/7	38
2020/6/8	21
2020/6/9	45
2020/6/10	38
2020/6/11	42
2020/6/12	61
2020/6/13	45
2020/6/14	75
2020/6/15	72
2020/6/16	44
2020/6/17	46
2020/6/18	70
2020/6/19	58
2020/6/20	64
2020/6/21	55
2020/6/22	43
2020/6/23	57
2020/6/24	96
2020/6/25	82
2020/6/26	105
2020/6/27	92
2020/6/28	113
2020/6/29	110
2020/6/30	138
2020/7/1	127
2020/7/2	194
2020/7/3	250
2020/7/4	274
2020/7/5	208
2020/7/6	176
2020/7/7	208
2020/7/8	207
2020/7/9	355
2020/7/10	430
2020/7/11	386
2020/7/12	407
2020/7/13	259
2020/7/14	333
2020/7/15	450
2020/7/16	624
2020/7/17	597
2020/7/18	661
2020/7/19	511
2020/7/20	418
2020/7/21	632
2020/7/22	795
2020/7/23	981
2020/7/24	779
2020/7/25	801
2020/7/26	839
2020/7/27	600
2020/7/28	985
2020/7/29	1270
2020/7/30	1308
2020/7/31	1586
2020/8/1	1534
2020/8/2	1331
2020/8/3	965
2020/8/4	1246
2020/8/5	1355
2020/8/6	1485
2020/8/7	1605
2020/8/8	1571
2020/8/9	1441
2020/8/10	838
2020/8/11	697
2020/8/12	979
2020/8/13	1173
2020/8/14	1356
2020/8/15	1231
2020/8/16	1017
2020/8/17	647
2020/8/18	916
2020/8/19	1069
2020/8/20	1178
2020/8/21	1037
2020/8/22	984
2020/8/23	744
2020/8/24	493
2020/8/25	715
2020/8/26	903
2020/8/27	863
2020/8/28	876
2020/8/29	844
2020/8/30	600
2020/8/31	436
2020/9/1	633
2020/9/2	592
2020/9/3	657
2020/9/4	587
2020/9/5	598
2020/9/6	451
2020/9/7	291
2020/9/8	509
2020/9/9	508
2020/9/10	712
2020/9/11	642
2020/9/12	646
2020/9/13	439
2020/9/14	266
2020/9/15	531
2020/9/16	551
2020/9/17	489
2020/9/18	572
2020/9/19	596
2020/9/20	480
2020/9/21	310
